ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Animals_209_h,Animals,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Animals_209_h.jpg,2.087
Objects_198_h,Objects,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Objects_198_h.jpg,0.623
Faces_078_h,Faces,Neutral,3,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_078_h.jpg,8.218
Objects_129_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_129_h.jpg,0.5
Animals_078_h,Animals,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_078_h.jpg,0.5
Objects_303_h,Objects,Neutral,4,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_303_h.jpg,0.589
Faces_339_h,Faces,Neutral,4,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_339_h.jpg,1.997
Objects_090_h,Objects,Neutral,3,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_090_h.jpg,5.478
Faces_159_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_159_h.jpg,0.5
Objects_283_h,Objects,Negative,1,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_283_h.jpg,3.654
Objects_120_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_120_h.jpg,0.5
Animals_093_h,Animals,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_093_h.jpg,0.5
Objects_154_h,Objects,Negative,6,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_154_h.jpg,1.997
Faces_163_h,Faces,Negative,4,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_163_h.jpg,3.506
Faces_293_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_293_h.jpg,0.5
Objects_233_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_233_h.jpg,0.5
Faces_196_h,Faces,Neutral,1,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_196_h.jpg,0.623
Faces_226_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_226_h.jpg,0.5
Faces_045_h,Faces,Neutral,4,1,neu1,within SF?,2,Old,A,Stimuli/Faces_045_h.jpg,3.582
Faces_303_h,Faces,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Faces_303_h.jpg,2.679
Objects_127_h,Objects,Negative,1,3,emo1,within SF?,1,Old,A,Stimuli/Objects_127_h.jpg,1.151
Faces_230_h,Faces,Neutral,2,1,neu1,within SF?,1,Old,A,Stimuli/Faces_230_h.jpg,2.087
Objects_314_h,Objects,Neutral,4,1,neu1,within SF?,1,Old,A,Stimuli/Objects_314_h.jpg,1.922
Faces_112_h,Faces,Neutral,3,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_112_h.jpg,0.623
Objects_328_h,Objects,Negative,1,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_328_h.jpg,3.52
Faces_016_h,Faces,Negative,2,3,emo1,within SF?,1,Old,A,Stimuli/Faces_016_h.jpg,0.51
Faces_172_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_172_h.jpg,0.5
Faces_209_h,Faces,Neutral,4,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_209_h.jpg,2.087
Objects_305_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_305_h.jpg,0.5
Objects_240_h,Objects,Neutral,2,1,neu1,within SF?,2,Old,A,Stimuli/Objects_240_h.jpg,4.855
Faces_007_h,Faces,Negative,3,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_007_h.jpg,1.755
Objects_257_h,Objects,Neutral,6,1,neu1,within SF?,1,Old,A,Stimuli/Objects_257_h.jpg,1.262
Objects_136_h,Objects,Negative,1,3,emo1,within SF?,2,Old,A,Stimuli/Objects_136_h.jpg,2.922
Objects_166_h,Objects,Neutral,2,1,neu1,within SF?,1,Old,A,Stimuli/Objects_166_h.jpg,5.089
Objects_157_h,Objects,Negative,3,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_157_h.jpg,4.855
Objects_204_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_204_h.jpg,0.5
Faces_210_h,Faces,Neutral,6,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_210_h.jpg,3.582
Objects_132_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_132_h.jpg,0.5
Faces_192_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_192_h.jpg,0.5
Faces_271_h,Faces,Negative,4,3,emo1,within SF?,1,Old,A,Stimuli/Faces_271_h.jpg,2.679
Faces_294_h,Faces,Negative,2,3,emo1,within SF?,2,Old,A,Stimuli/Faces_294_h.jpg,0.623
Animals_060_h,Animals,Negative,3,3,emo1,within SF?,2,Old,A,Stimuli/Animals_060_h.jpg,5.258
Faces_205_h,Faces,Neutral,6,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_205_h.jpg,2.679
Faces_058_h,Faces,Neutral,6,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_058_h.jpg,4.855
Faces_216_h,Faces,Neutral,2,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_216_h.jpg,5.478
Faces_288_h,Faces,Negative,1,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_288_h.jpg,1.922
Faces_370_h,Faces,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Faces_370_h.jpg,1.262
Objects_058_h,Objects,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_058_h.jpg,0.864
Objects_229_h,Objects,Negative,4,3,emo1,within SF?,2,Old,A,Stimuli/Objects_229_h.jpg,0.623
Objects_304_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_304_h.jpg,0.5
Faces_222_h,Faces,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Faces_222_h.jpg,0.977
Faces_247_h,Faces,Neutral,2,1,neu1,within SF?,2,Old,A,Stimuli/Faces_247_h.jpg,0.798
Faces_013_h,Faces,Negative,6,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_013_h.jpg,0.834
